サイト名,URL,エリア,責任部署,目的,想定読者,秘密度ラベル,置くもの,置かないもの,ライブラリ構成,問合せ窓口,最終棚卸し日,次回見直し期限
WorkBase,/sites/workbase,社外秘,管理部,全社の入口。ここから3クリック以内で目的の情報にたどり着けるようにする場所,全社員,社内限定,全社お知らせ、全社マニュアル、全部署へのナビゲーション、依頼Formの入口、システムリンク集,部署固有のファイル、規程・様式の実体、業務手順書、案件資料,01_公開_全社共有（全社員閲覧）,依頼Form（宛先=管理部）/ Teams #情報システム,,2027-04-01
knowledge,/sites/wb-knowledge,社外秘,管理部,業務のやり方・ツールの使い方・社内制度の解説を集約する場所,全社員,社内限定,オンボーディング、業務マニュアル、ツールの使い方、社内制度の解説、用語集、ナレッジ記事,規程・様式の原本、部署限定の手順、進行中の案件情報,01_公開_共通（全社員閲覧）,依頼Form（宛先=管理部・種別=ナレッジ）/ Teams #knowledge,,2027-04-01
社長室,/sites/wb-exec,社外秘,社長室,経営の意思と全社方針を発信し、経営会議資料を限定管理する場所,全社員（公開）/ 社長室（限定）,社外秘,経営方針、中期経営計画、全社通達、社長メッセージ、取締役会資料（限定）,各部門の実務資料、規程の原本、人事評価データ、進行中の依頼,01_公開_共通（全社員閲覧）/ 02_限定_部（社長室のみ）,依頼Form（宛先=社長室）/ Teams #社長室,,2027-04-01
法人事業部,/sites/wb-div01,社外秘,法人事業部,法人顧客に研修・サービスを提供し、法人領域の売上をつくる部の情報と成果物を集約する場所,全社員（公開）/ 部員・課員（限定）,社外秘,法人向けサービス説明資料、提案書・見積テンプレート、受注失注の振り返り、顧客個社の作業ファイル（課限定）,進行中のタスク、会話、個人の作業中ファイル、規程の確定版、案件の成果物,01_公開_共通/➀課/②課、02_限定_部/➀課/②課,依頼Form（宛先=法人事業部）/ Teams #法人事業部-相談,,2027-04-01
スクール事業部,/sites/wb-div02,社外秘,スクール事業部,個人向けスクールの募集から運営までを担い、受講者数と満足度をつくる部の情報を集約する場所,全社員（公開）/ 部員・課員（限定）,社外秘,開講スケジュール、サービス説明資料、受講者アンケート集計、受講者名簿（課限定）、広告費内訳（課限定）,進行中のタスク、会話、受講者個人情報の全社共有、業務委託者に渡す資料,01_公開_共通/➀課/②課、02_限定_部/➀課/②課,依頼Form（宛先=スクール事業部）/ Teams #スクール事業部-相談,,2027-04-01
研修・講師統括部,/sites/wb-div03,社外秘,研修・講師統括部,研修プログラムの品質と、講師の確保・育成・アサインに責任を持つ部の情報を集約する場所,全社員（公開）/ 部員・課員（限定）,社外秘,研修プログラム一覧、講師アサイン依頼手順、教材の版数一覧、講師評価・単価（課限定）,進行中のタスク、会話、講師単価の全社公開、業務委託講師に渡す教材,01_公開_共通/➀課/②課、02_限定_部/➀課/②課,依頼Form（宛先=研修・講師統括部）/ Teams #研修講師統括部-相談,,2027-04-01
デジタル開発部,/sites/wb-div04,社外秘,デジタル開発部,自社サービスの開発と、社内ITの整備・運用に責任を持つ部の情報を集約する場所,全社員（公開）/ 部員・課員（限定）,社外秘,サービス仕様概要とリリースノート、社内システム一覧、申請手順、設計書・監査ログ（課限定）,進行中のタスク、会話、認証情報やAPIキー、ソースコード,01_公開_共通/➀課/②課、02_限定_部/➀課/②課,依頼Form（宛先=デジタル開発部）/ Teams #デジタル開発部-相談,,2027-04-01
管理部,/sites/wb-div05,社外秘,管理部,総務・人事・経理・法務を担い、全社が業務に集中できる基盤をつくる部の情報を集約する場所,全社員（公開）/ 部員（限定）/ 課員のみ（課限定）,社外秘,各種申請の手順と締切、経費精算ルール解説、備品利用案内、人事評価・給与（課限定）,進行中のタスク、会話、規程の確定版、制度の解説記事,01_公開_共通/➀課/②課、02_限定_部、02_限定_➀課/②課（※課員のみ・部員も閲覧不可）,依頼Form（宛先=管理部）/ Teams #管理部-相談,,2027-04-01
正本置き場,/sites/wb-records,社外秘,管理部（運用）/ 各部（内容）,これが最新で正しいと全社が信じてよい唯一の場所,全社員（閲覧のみ）,社外秘,規程・規則、様式・帳票、全社マニュアルの確定版、改訂中の版（限定）,下書き、各部の作業ファイル、規程の解説、議事録・報告書,01_規程・規則、02_様式・帳票、03_全社マニュアル（すべて全社員は閲覧のみ）、04_改訂中,依頼Form（宛先=管理部・種別=規程改訂）,,2027-04-01
案件管理,/sites/wb-projects,社外秘,法人事業部（主管）/ デジタル開発部（仕組み）,案件の成果物と経緯に部署を越えてたどり着けるようにする場所,全社員（公開）/ 案件関係部署（限定）,社外秘,納品物、提案書、事例化した資料、見積・原価（限定）。案件コードのフォルダで管理,タスクの期限と担当、日々の連絡、契約書のひな形、顧客個人情報の公開ライブラリ配置,01_公開_案件成果物、02_限定_案件作業,依頼Form（宛先=法人事業部・種別=案件管理）/ Teams #案件管理,,2027-04-01
ビジネスパートナー,/sites/bp-portal,関係者外秘,スクール事業部,業務委託者に必要な情報だけを渡す場所。WorkBaseハブには接続しない,社員＋招待した業務委託者,関係者外秘,業務手順書、教材、スケジュール、請求書ひな形、業務委託者からの提出物,業務委託者の単価・契約条件・評価、社員の人事情報、他社パートナーの情報、社外秘の全社資料,01_パートナー共有、02_パートナー提出,サイト記載の担当者 / 依頼Form（宛先=スクール事業部）,,2027-04-01
