"階層","大項目","中項目","小項目","背景","目的","ゴール"
"大項目","コミュニケーション基盤","―","―","ほぼフルリモート環境で、情報共有と相談の共通ルールがなく、情報にも人にもたどり着きにくい","【つくりたい状態】フルリモートでも、全社員が「必要な情報」と「相談すべき相手」に迷わず最短で到達できる状態","2026年12月末までに、情報(ツール・格納)と人(相談ルート・問い合わせ先)の両方について到達ルールが公開・運用され、2027年6月末まで新組織の体制変更に追随して維持されている状態"
"中項目","コミュニケーション基盤","情報アクセスの整備","―","ほぼフルリモート環境で情報共有の共通ルールがなく、情報がチャットや乱立した格納場所に散在して探せない。他部署の動きも把握しづらい","情報の透過性を高め、コミュニケーションの活性化と探す時間の削減によって従業員の生産性を上げる","2026年12月末までに、フロー情報(ツールの選定・運用ルール)とストック情報(格納・命名・マニュアル化のルール)の両方が整備・全社公開され、運用が開始されている状態"
"小項目","コミュニケーション基盤","情報アクセスの整備","コミュニケーションツールの選定と運用ルール策定(フロー情報)","現在はTeamsを利用しているが、情報が個々のチャットに閉じて透過性が低く、気軽な相談・雑談も生まれにくい。現行ツールが自社のコミュニケーションに最適かは検証されておらず、必要に応じてSlack等への移行も視野に入れている(導入は未確定)","情報の透過性を高めるとともに、コミュニケーションの活性化によって従業員の生産性を上げる。そのために最適なツールを見極めたうえで運用ルールを整える","2026年10月末までに現行Teamsの妥当性検証とツール選定(Teams継続 or Slack等への移行)が完了し、2026年12月末までに選定したツールの運用ルールが策定・全社公開され、運用が開始されている状態"
"小項目","コミュニケーション基盤","情報アクセスの整備","資料格納・検索ルールの整理(ストック情報)","SharePointのサイトやフォルダが各自の判断で乱立し、OneDriveの容量が逼迫しているうえ、探したい情報にたどり着けない。ファイルの命名規則がなく検索でも見つからない。また、ルールが存在してもマニュアル化されていないものが多く、仕事が属人化している","探す時間のロスと属人化をなくし、誰でも・いつでも迷わず情報に到達できる状態を得る(あわせてストレージ容量を適正化する)","2026年12月末までに、SharePoint/OneDriveの格納構成(サイト・フォルダの作成ルール)と命名規則が整備されて既存資料の整理・移行が始まり、ルールや業務知識をマニュアルとして残す場所と型が決まっている状態"
"中項目","コミュニケーション基盤","相談先の可視化","―","プロジェクト内外を問わず「この件はどの部署の誰に相談・確認すればいいのか」が分からず、業務が滞っている","「人」への到達ルートを可視化し、相談の迷いによる業務の滞留をなくす","2026年12月末までに、個人の困りごとの相談ルートと部署間の問い合わせ先一覧の両方が定められて公開され、新組織の体制に合わせて維持更新されている状態"
"小項目","コミュニケーション基盤","相談先の可視化","個人の困りごと相談ルートの整備","困りごとが発生したときに「誰に相談・確認すればいいのか」が分からず、業務が滞ったり一人で抱え込んだりしている","困りごとの種類に応じて迷わず相談できるルートを示し、業務の滞留と孤立を防ぐ","2026年12月末までに、困りごとの種類に応じた個人の相談ルート(業務の質問・制度や労務・その他の困りごとをそれぞれ誰に相談するか)が定められ、新組織の体制に合わせて全社に周知されている状態"
"小項目","コミュニケーション基盤","相談先の可視化","部署間連携の仕組みづくりと問い合わせ先一覧の作成","部署対部署で調整・依頼をしたいときの正式なルートや仕組みがなく、個人の人脈に依存している","部署間連携を人脈依存から仕組みに変え、誰が担当でも迷わず他部署へ問い合わせ・依頼できるようにする","2026年12月末までに、部署間連携の仕組み(各部署の窓口の持ち方・受け方のルール)が設計・決定され、運用開始と合わせて「問い合わせ先一覧」が作成・全社公開されている状態"
"大項目","人事制度・目標管理","―","―","等級・給与・評価・目標管理がそれぞれ課題を抱えたまま個別に存在し、正しい努力が正しく報われる一貫した仕組みになっていない","評価・処遇への不信感からくる意欲低下や離職を防ぎ、社員が安心して成長と挑戦に力を注げるようにする。あわせて、会社の方向性と個人の努力のベクトルを揃え、限られた人員でも事業目標を達成できる組織をつくる","2026年12月末までに評価・目標管理制度、2027年3月末までに等級・給与制度の設計と全社開示が完了し、2027年6月末までに新評価サイクルの初回半期(1月の目標設定→6月の振り返り1on1)が完走。2027年4月の昇給昇格は現行の等級・給与体系のもとでエラーなく実施され、新等級・給与制度の適用開始時期が決定されている状態"
"中項目","人事制度・目標管理","制度の設計","―","等級・給与・評価・目標管理がそれぞれ課題(狭き昇格門・曖昧な定義・期ズレ・形骸化)を抱えたまま個別に存在し、一貫した制度になっていない","「何をすれば評価され、処遇にどうつながるのか」の透明性を制度として担保することで、評価・処遇への納得感と成長意欲を高め、定着と採用競争力を得る","2026年12月末までに評価・目標管理制度の設計と全社説明が、2027年3月末までに等級・給与制度の設計と全社開示が完了し、各制度の適用開始時期が決定されている状態"
"小項目","人事制度・目標管理","制度の設計","等級・給与制度の設計(職種別の等級定義と給与テーブル)","現行の6段階等級は上位への昇格が極めて狭き門で、職種(営業・講師・コンテンツ開発・バックオフィス)ごとの等級定義も曖昧なため、目指すべきキャリアパスが見えない。また、新組織への移行と会社の方針を受けて、等級と連動した給与レンジ全体の引き上げを行う方針である","「何を満たせば次の等級に上がり、給与がどう変わるのか」を職種ごとに示し、社員の成長意欲と定着、採用競争力を高める","2026年12月末までに職種ごとの各等級の「一言定義」と昇格要件が確定し、2027年3月末までに等級と連動した新しい給与テーブルを含めて全社開示され、適用開始時期(2027年4月の昇給昇格には反映しない)が決定・周知されている状態"
