タスク名,案件,担当者,期限,状態,種別,メモ
研修テキスト最終版の作成,ABC商事_新入社員フォローアップ研修_2026-10,高橋 美咲,2026-09-18,進行中,教材準備,昨年版をベースに、配属後の悩みに関するケーススタディを差し替え中。
受講者名簿の受領,ABC商事_新入社員フォローアップ研修_2026-10,田中 健太,2026-09-10,完了,その他,32名。うち3名が中途入社のため一部内容の調整が必要。
事前アンケートの配信,ABC商事_新入社員フォローアップ研修_2026-10,高橋 美咲,2026-09-25,未着手,その他,Forms で作成し、先方人事から一斉配信してもらう。
会場設営の最終確認,ABC商事_新入社員フォローアップ研修_2026-10,田中 健太,2026-10-01,未着手,会場手配,先方本社12F大会議室。グループワーク用に島型レイアウトを依頼。
提案書の作成,みらいテクノロジー_管理職マネジメント研修_2026-11,田中 健太,2026-08-25,進行中,提案書作成,1on1の実践演習を目玉にする方針。
見積書の提出,みらいテクノロジー_管理職マネジメント研修_2026-11,田中 健太,2026-08-28,未着手,見積,2日間コースと1日凝縮コースの2案を提示する。
講師候補のアサイン打診,みらいテクノロジー_管理職マネジメント研修_2026-11,伊藤 直樹,2026-09-04,未着手,講師アサイン,製造業以外の管理職研修の実績がある講師を優先。
研修実施報告書の作成,東和製作所_ハラスメント防止研修_2026-07,中村 健,2026-07-23,完了,その他,3回分をまとめて1本で作成。
アンケート結果の集計,東和製作所_ハラスメント防止研修_2026-07,伊藤 直樹,2026-07-24,完了,その他,満足度4.3/5.0。自由記述に管理職向け続編の要望が複数あり。
請求書の発行,東和製作所_ハラスメント防止研修_2026-07,伊藤 直樹,2026-07-31,完了,請求,支払サイトは翌月末。
管理職向け続編の提案アポ打診,東和製作所_ハラスメント防止研修_2026-07,伊藤 直樹,2026-09-01,未着手,その他,入金確認後に鈴木部長へ連絡する。
